题目编号,章节,题目代码,问题,正确答案,选项 A,选项 B,选项 C,选项 D
LK0055,1.5.3,MC1-0141,关于业余无线电台的应急通信，正确的叙述是：,C,在平时的任何时侯，业余无线电台的通信内容可以涉及任何政府组织和非盈利机构交办的任务,平时在专门的应急通信训练活动中，业余无线电台的通信内容可以涉及应急救援相关部门和组织机构交办的任务,在突发重大自然灾害等紧急情况下，业余无线电台的通信内容可以涉及应急救援相关部门交办的任务,在日常公益性社会活动中，业余无线电台的通信内容可以涉及各种公益机构交办的任务
LX,1.5.3,MC4-0142,业余无线电爱好者在应对突发事件应急处置应当遵守下列规定：,ABCD,通信内容应当限于与突发事件应急处置直接相关的紧急事务,为突发事件应急处置的需要，业余无线电台可以与非业余无线电台通信,遇有危及国家安全、公共安全、生命财产安全等紧急情况，可以不经批准临时设置、使用业余无线电台，但应当在 48 小时内向电台所在地的无线电管理机构报告,遇有危及国家安全、公共安全、生命财产安全等紧急情况，未经批准临时设置、使用业余无线电台应在紧急情况消除后及时关闭
LK0074,1.6.1,MC1-0143,业余无线电台设置、使用人应当接受下列机构对业余无线电台及其使用情况的监督检查：,C,国家计量监督部门的监督检查,业余无线电民间组织的独立监督检查,无线电管理机构的监督检查,单位或所在居委会、村民委员会、物主委员会的监督检查
LX,1.6.1,MC4-0144,关于无线电频谱资源，下列说法正确的是：,ABCD,根据维护国家安全、保障国家重大任务、处置重大突发事件等需要，国家可以实施无线电管制,无线电频谱资源属于国家所有,国家鼓励、支持对无线电频谱资源的科学技术研究和先进技术的推广应用，提高无线电频谱资源的利用效率,国家对无线电频谱资源实行统一规划、合理开发、有偿使用的原则
LX,1.6.1,MC4-0145,关于无线电频率、业务、台（站），下列说法正确的是：,ABCD,任何单位或者个人不得擅自使用无线电频率,设置、使用业余无线电台需要遵守《中华人民共和国无线电管理条例》,任何单位或者个人不得利用无线电台（站）进行违法犯罪活动,任何单位或者个人不得对依法开展的无线电业务造成有害干扰
LK0103,1.6.1,MC1-0146,违反国家规定，擅自设置、使用无线电台（站），或者擅自使用无线电频率，干扰无线电通讯秩序，情节严重的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；情节特别严重的，处三年以上七年以下有期徒刑，并处罚金。单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。这个规定出自于下列法规律：,D,中华人民共和国民法通则,中华人民共和国电信法,中华人民共和国无线电管理条例,中华人民共和国刑法
LK0104,1.6.1,MC1-0147,无线电频率的使用必须得到无线电管理机构的批准，基本依据是“无线电频谱资源属于国家所有”，出自于下列法律的第二百五十二条：,A,中华人民共和国民法典,中华人民共和国电信法,中华人民共和国宪法,中华人民共和国刑法
LK0105,1.6.1,MC1-0148,无线电管制是指在下列范围内依法采取的对无线电波的发射、辐射和传播实施的强制性管理：,B,在全国范围、所有时间内,在特定时间和特定区域内,在特定范围、所有时间内,在例行范围和例行时间内
LK0106,1.6.1,MC1-0149,无线电管制是指在特定时间和特定区域内，依法采取的下列性质的管理：,B,对无线电波的发射、辐射实施的指导和行业自律性管理,对无线电波的发射、辐射和传播实施的强制性管理,对无线电发射设备的生产、销售实施的强制性管理,对无线电发射设备的生产、销售实施的指导和行业自律性管理
LK0107,1.6.1,MC1-0150,在特定时间和特定区域内实施无线电管制时，与业余无线电有关的管理措施包括：,C,限制、但不会禁止业余无线电台（站）的使用,依法设置的业余电台不在管制范围之内,限制或者禁止业余无线电台（站）的使用，以及对特定的无线电频率实施技术阻断等,限制或者禁止业余无线电台设备的生产和销售
LY0108,1.6.1,MC2-0151,决定实施无线电管制的机构为：,AD,在省、自治区、直辖市范围内实施，由省、自治区、直辖市人民政府和相关军区决定,在省、自治区、直辖市范围内实施，由相关地方无线电管理机构决定,在全国范围内或者跨省、自治区、直辖市实施，由国家无线电管理机构决定,在全国范围内或者跨省、自治区、直辖市实施，由国务院和中央军事委员会决定
LY0109,1.6.1,MC2-0152,违反无线电管制命令和无线电管制指令的，由下列机构依法进行处罚：,BD,当地业余无线电协会,违反治安管理规定者由公安机关处罚,所在军区派出的专门机构,国家无线电管理机构或者省、自治区、直辖市无线电管理机构
LY0110,1.6.2,MC3-0153,业余电台违反无线电管制命令和无线电管制指令的，可以依法规受到下列处罚：,ACD,责令改正；拒不改正的，关闭、查封、暂扣或者拆除相关设备,处警告或者三万元以下的罚款,违反治安管理规定的，由公安机关处罚,情节严重的，吊销电台执照
LX,1.6.2,MC2-0154,对未经许可擅自使用无线电频率的，无线电管理机构可以根据其具体情况给予下列处罚：,AC,由无线电管理机构责令改正，没收从事违法活动的设备和违法所得，可以并处 5 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,拒不改正的，并处 5 万元以上 20 万元以下的罚款,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备
LY0094,1.6.2,MC2-0155,对擅自设置、使用业余无线电台的，无线电管理机构可以根据其具体情况给予下列处罚：,CD,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,由无线电管理机构责令改正，没收从事违法活动的设备和违法所得，可以并处 5 万元以下的罚款,拒不改正的，并处 5 万元以上 20 万元以下的罚款
LY0094,1.6.2,MC1-0156,擅自设置、使用无线电台（站）从事诈骗等违法活动，可以根据其具体情况给予下列处罚：,D,拒不改正的，处 5 万元以上 20 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,尚不构成犯罪的，并处 20 万元以上 50 万元以下的罚款
LY0096,1.6.2,MC2-0157,不按照业余无线电台执照规定的许可事项和要求设置、使用业余无线电台的，无线电管理机构可以根据其具体情况给予下列处罚：,CD,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,造成严重后果的，吊销无线电台执照，并处 3 万元以上 10 万元以下的罚款,由无线电管理机构责令改正，没收违法所得，可以并处 3 万元以下的罚款
LX,1.6.2,MC2-0158,故意收发业余无线电台执照许可事项之外的无线电信号，传播、公布或者利用无意接收的信息，无线电管理机构可以根据其具体情况给予下列处罚：,AD,由无线电管理机构责令改正，没收违法所得，可以并处 3 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,造成严重后果的，吊销无线电台执照，并处 3 万元以上 10 万元以下的罚款
LX,1.6.2,MC2-0159,擅自编制、使用业余无线电台呼号，无线电管理机构可以根据其具体情况给予下列处罚：,AC,造成严重后果的，吊销无线电台执照，并处 3 万元以上 10 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,由无线电管理机构责令改正，没收违法所得，可以并处 3 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备
LY0095,1.6.2,MC1-0160,业余电台干扰无线电业务正常进行的，无线电管理机构可以根据其具体情况给予下列处罚：,A,由无线电管理机构责令改正，拒不改正的，没收产生有害干扰的设备，并处 5 万元以上20 万元以下的罚款，吊销无线电台执照,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备
LX,1.6.2,MC1-0161,业余电台对船舶、航天器、航空器、铁路机车专用无线电导航、遇险救助和安全通信等涉及人身安全的无线电频率产生有害干扰的，无线电管理机构可以根据其具体情况给予下列处罚：,A,处 20 万元以上 50 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款
LX,1.6.2,MC2-0162,研制、生产、销售和维修大功率无线电发射设备，未采取有效措施抑制电波发射的，无线电管理机构可以根据其具体情况给予下列处罚：,AC,造成严重后果的，并处 10 万元以上 30 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3 万元以上10 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备
LX,1.6.2,MC2-0163,境外组织或者个人在我国境内进行电波参数测试或者电波监测的，无线电管理机构可以根据其具体情况给予下列处罚：,CD,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3 万元以上10 万元以下的罚款,造成严重后果的，并处 10 万元以上 30 万元以下的罚款
LX,1.6.2,MC2-0164,向境外组织或者个人提供涉及国家安全的境内电波参数资料的，无线电管理机构可以根据其具体情况给予下列处罚：,AC,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3 万元以上10 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款,造成严重后果的，并处 10 万元以上 30 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备
LX,1.6.2,MC2-0165,生产或者进口在国内销售、使用的无线电发射设备未取得型号核准的，无线电管理机构可以根据其具体情况给予下列处罚：,AC,拒不改正的，没收未取得型号核准的无线电发射设备，并处 20 万元以上 100 万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,由无线电管理机构责令改正，处 5 万元以上 20 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款
LX,1.6.2,MC2-0166,销售依照本条例第四十四条的规定应当取得型号核准的无线电发射设备未向无线电管理机构办理销售备案的，无线电管理机构可以根据其具体情况给予下列处罚：,AC,由无线电管理机构责令改正,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,拒不改正的，处 1 万元以上 3 万元以下的罚款,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚款
LX,1.6.2,MC2-0167,关于违反《中华人民共和国无线电管理条例》规定，下列说法正确的是：,AC,构成犯罪的，依法追究刑事责任,进口无线电发射设备，携带、寄递或者以其他方式运输无线电发射设备入境，违反海关监管法律法规的，由海关依法处罚,构成违反治安管理行为的，依法给予治安管理处罚,违反《条例》规定，只需被无线电管理机构处罚
LY0101,1.6.2,MC1-0168,隐瞒有关情况、提供虚假材料或者虚假承诺申请业余无线电台设置、使用许可，无线电管理机构可以给予下列处罚：,B,责令限期改正，可以处警告或者一千元以上，五千元以下的罚款,无线电管理机构不予许可，并给予警告,责令限期改正，可以处警告或者一千元以下的罚款,责令限期改正，情节严重的，可以并处警告、查封或者没收设备
LX,1.6.2,MC2-0169,以欺骗、贿赂等不正当手段取得业余无线电台执照的，可以给予下列处罚：,BC,责令限期改正，可以处警告或者一千元以下的罚款,无线电管理机构依法给予行政处罚,构成犯罪的，依法追究刑事责任,责令限期改正，情节严重的，可以并处警告、查封或者没收设备
LX,1.6.2,MC1-0170,在《中华人民共和国治安管理处罚法》中，无线电有关说法正确的是：,C,违反国家规定，故意干扰无线电业务正常进行，或者对正常运行的无线电台（站）产生有害干扰，经有关主管部门指出后，拒不采取有效措施消除的，不会采取拘留手段进行处理,产生有害干扰不会受到处罚,违反国家规定，故意干扰无线电业务正常进行的，或者对正常运行的无线电台（站）产生有害干扰，经有关主管部门指出后，拒不采取有效措施消除的，处五日以上十日以下拘留；情节严重的，处十日以上十五日以下拘留,使用业余无线电台时，只要不对其他业余无线电台产生干扰即可
LX,1.6.3,MC4-0171,关于《中华人民共和国网络安全法》，下列说法正确的是：,ABCD,不得利用网络侵害他人名誉、隐私、知识产权和其他合法权益,任何个人和组织使用网络应当遵守宪法法律，遵守公共秩序，尊重社会公德，不得危害网络安全,不得利用网络编造、传播虚假信息扰乱经济秩序和社会秩序,不得利用网络从事危害国家安全、荣誉和利益的活动
LX,1.6.3,MC1-0172,《中华人民共和国国家安全法》中提到，国家安全工作应当坚持总体国家安全观，以人民安全为（），以政治安全为（），以经济安全为（），以军事、文化、社会安全为（），以促进国际安全为依托，维护各领域国家安全，构建国家安全体系，走中国特色国家安全道路。,D,基础、保障、宗旨、根本,宗旨、基础、保障、根本,根本、基础、保障、宗旨,宗旨、根本、基础、保障
LX,1.6.3,MC4-0173,以下哪些是《中华人民共和国国家安全法》中规定的公民和组织应当履行的义务？,ABCD,为国家安全工作提供便利条件或者其他协助,如实提供所知悉的涉及危害国家安全活动的证据,遵守宪法、法律法规关于国家安全的有关规定,及时报告危害国家安全活动的线索
LK0048,1.7.1,MC1-0174,业余无线电台在业余业务、卫星业余业务作为次要业务使用的频率或者与其他主要业务共同使用的频率上发射操作时，应当注意：,C,只要遵守了《中华人民共和国无线电频率划分规定》的有关规定即可放心使用,首先守听频率是否已由其他业务电台占用，如听不到，即可按照先来先用的原则放心使用,遵守无线电管理机构对该频率的使用规定,可以任意使用，但在遇到其他业务电台使用时要主动避让
LK0049,1.7.1,MC1-0175,关于业余频率的使用，正确的叙述是：,C,依法成立的地方业余无线电民间组织的业余电台，在其常用的台网频率上享有比其他个人设置的业余电台优先的使用权,任何业余无线电台在任何频段都享有平等的频率使用权,业余无线电台在无线电管理机构核准其使用的频段内，享有平等的频率使用权,业余无线电台在无线电管理机构核准其使用的频段内，不同类别的业余电台享有不同优先程度的频率使用权
LK0141,1.7.1,MC1-0176,在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业余业务和卫星业余业务作为次要业务时，业余无线电台应该遵循的规则是：,B,可要求保护不受来自主要业务电台的有害干扰,不得对主要业务电台产生有害干扰,容许因设备技术问题对主要业务电台产生短时间有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求
LK0142,1.7.1,MC1-0177,在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业余业务和卫星业余业务作为次要业务时，业余无线电台遵循的规则是：,D,容许因设备技术问题对主要业务电台产生短时间有害干扰,可要求保护不受来自主要业务电台的有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求,不得对来自主要业务电台的有害干扰提出保护要求
LK0143,1.7.1,MC1-0178,在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业余业务和卫星业余业务作为次要业务时，业余无线电台遵循的规则是：,B,容许因设备技术问题对主要业务电台产生短时间有害干扰,可要求保护不受来自同一业务或其他次要业务电台的有害干扰,可要求保护不受来自主要业务电台的有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求
LK0144,1.7.1,MC1-0179,我国分配给业余业务和卫星业余业务专用的频段有：,C,7MHz、14MHz、28MHz、144MHz、430MHz 频段,7MHz、14MHz、21MHz、28MHz、144MHz 频段,7MHz、14MHz、21MHz、28MHz、47GHz 频段,3.5MHz、14MHz、21MHz、28MHz、10GHz 频段
LK0145,1.7.1,MC1-0180,我国分配给业余业务和卫星业余业务与其他业务共用、并且业余业务和卫星业余业务作为主要业务之一的 30MHz 以下频段有：,B,1.8MHz、10.1MHz、14.25MHz、18.068MHz、21.45MHz 频段,1.8MHz、3.5MHz、14.25MHz、18.068MHz、24.89MHz 频段,3.5MHz、7MHz、14.25MHz、21MHz、24.89MHz 频段,3.5MHz、10.1MHz、14.25MHz、18.068MHz、29.7MHz 频段
LK0146,1.7.1,MC1-0181,我国在 VHF 和 UHF 范围内分配给业余业务和卫星业余业务与其他业务共用并设业务类别为主要业务与次要业务，以下那些频率分配给业余业务和卫星业余业务与其他业务共用并且业余业务和卫星业余业务作为主要业务：,C,144MHz、430MHz,220MHz、430MHz,50MHz、144MHz,50MHz、430MHz
LK0147,1.7.1,MC1-0182,我国分配给业余业务和卫星业余业务与其他业务共用、并且业余业务和卫星业余业务作为唯一主要业务的频段的个数以及在 3GHz 以下的该类频段分别为：,B,5 个，50-54MHz,3 个，144-146MHz,5 个，28-29.7MHz,4 个，7.0-7.2MHz
LK0148,1.7.1,MC1-0183,我国分配给业余业务和卫星业余业务与其他业务共用、并且业余业务和卫星业余业务作为次要业务的 1200MHz 以下频段有：,B,3.5MHz、7MHz、50MHz,135.7kHz、5351.5KHz、10.1MHz、430MHz,3.5MHz、18.068MHz、144MHz,10.1MHz、24.89MHz、430MHz
LK0149,1.7.1,MC1-0184,我国分配给业余业务和卫星业余业务的频率最高的频段及其共用类别是：,D,77.5-78GHz，主要业务,134-136GHz，唯一主要业务,47-47.2GHz，专用业务,248-250GHz，唯一主要业务
LK0150,1.7.1,MC1-0185,国际业余无线电界把 WARC-76 增加分配给业余业务和卫星业余业务的三个 HF 频段俗称为 WARC 频段，它们的频率范围是：,B,10.068-10.168MHz、18.1-18.15MHz、24.89-24.99MHz,10.1-10.15MHz、18.068-18.168MHz、24.89-24.99MHz,10.1-10.15MHz、18.89-18.99MHz、24.068-24.168MHz,10.89-10.88MHz、18.1-18.15MHz、24.068-24.168MHz
LK0151,1.7.1,MC1-0186,俗称的 40 米业余波段，其在 ITU1、2、3 区的频率范围以及业余业务和卫星业余业务的使用状态分别为：,A,7.0-7.2MHz、7.0-7.3MHz、7.0-7.2MHz，专用,7.0-7.3MHz、7.0-7.3MHz、7.0-7.3MHz，专用,7.0-7.3MHz、7.0-7.3MHz、7.0-7.2MHz，专用,7.0-7.1MHz、7.0-7.2MHz、7.0-7.3MHz，专用
LK0152,1.7.1,MC1-0187,俗称的 160 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,B,1800-1900kHz，次要业务,1800-2000kHz，主要业务,1700-1900kHz，专用业务,1900-2000kHz，主要业务
LK0153,1.7.1,MC1-0188,俗称的 80 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,C,3.5-4.0MHz，主要业务,3.5-3.6MHz，专用业务,3.5-3.9MHz，主要业务,3.5-3.9MHz，次要业务
LK0154,1.7.1,MC1-0189,俗称的 20 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,C,14-14.35MHz，专用,14-14.35MHz 为专用，14.35-14.45 为主要业务,14-14.25MHz 为专用，14.25-14.35 为主要业务,14-14.15MHz 为专用，14.15-14.25 为主要业务
LK0155,1.7.1,MC1-0190,俗称的 15 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,A,21-21.45MHz，专用,21-21.45MHz，主要业务,21-21.35MHz，专用,21-21.45MHz，次要业务
LK0156,1.7.1,MC1-0191,俗称的 10 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,A,28-29.7MHz，专用,28-30MHz，次要业务,28-29.6MHz，专用,28-29.7MHz，主要业务
LK0157,1.7.1,MC1-0192,俗称的 6 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,A,50-54MHz，主要业务,51-54MHz，专用,52-56MHz，次要业务,50-52MHz，次要业务
LK0158,1.7.1,MC1-0193,俗称的 2 米业余波段的频率范围以及我国业余业务和卫星业余业务的使用状态分别为：,A,144-148MHz；其中 144-146MHz 为唯一主要业务，146-148MHz 为与其他业务共同作为主要业务,144-148MHz；其中 144-146MHz 为专用，146-148MHz 为次要业务,144-146MHz；专用,144-148MHz；次要业务
LK0159,1.7.1,MC1-0194,俗称的 0.7 米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,D,430-440MHz，主要业务,420-470MHz，次要业务,430-440MHz，专用,430-440MHz，次要业务
LK0160,1.7.1,MC1-0195,在我国和多数其他国家的频率分配中，业余业务在 430-440MHz 频段中作为次要业务与其他业务共用。这个频段中我国分配的主要业务是：,B,固定业务,无线电定位和航空无线电导航,水上移动和航空移动,移动业务
LK0161,1.7.1,MC1-0196,我国分配给业余业务和卫星业余业务的属于低频（LF）范围的频段为：,A,135.7-137.8kHz,472-479kHz,134.7-135.8kHz,137.8-138.6kHz
LK0162,1.7.1,MC1-0197,短波业余电台应避免在 IARU 信标工作频率±500Hz 的范围内发射电波。这些频率是：,C,7.100MHz、10.070MHz、14.100MHz、21.100MHz、28.200MHz,7.150MHz、14.110MHz、18.150MHz、21.150MHz、28.150MHz,14.100MHz、18.110MHz、21.150MHz、24.930MHz、28.200MHz,14.150MHz、18.100MHz、21.200MHz、24.930MHz、28.200MHz
LK0164,1.7.1,MC1-0198,我国短波业余电台在 7MHz 频段进行 LSB 通话时可以实际占用的频率为：,A,7.030-7.200MHz,7.000-7.200MHz,7.000-7.100MHz,7.023-7.200MHz
LK0165,1.7.1,MC1-0199,短波业余电台在 14MHz 频段进行 USB 通话时可以实际占用的频率为：,C,14.070-14.250MHz,14.030-14.350MHz,14.100-14.350MHz,14.000-14.250MHz
LK0166,1.7.1,MC1-0200,短波业余电台在 18MHz 频段进行 USB 通话时可以实际占用的频率为：,D,18.1005-18.180MHz,18.068-18.186MHz,18.110-18.170MHz,18.1105-18.168MHz
LK0167,1.7.1,MC1-0201,短波业余电台在 21MHz 频段进行 USB 通话时可以实际占用的频率为：,D,21-21.35MHz,21-21.45MHz,21.125-21.45MHz,21.125-21.45MHz，除去 21.1495-21.1505
LK0168,1.7.1,MC1-0202,短波业余电台在 24MHz 频段进行 USB 通话时可以实际占用的频率为：,A,24.9305-24.99MHz,24.890-24.98MHz,24.9205-24.99MHz,24.928-24.988MHz
LK0169,1.7.1,MC1-0203,短波业余电台在 29MHz 频段进行 USB 通话时可以实际占用的频率为：,C,28-29.7MHz,28.250-29.7MHz,28.3-29.3MHz,28.2-29.6MHz
LK0170,1.7.1,MC1-0204,短波业余电台在 29MHz 频段进行 FM 通话时可以实际占用的频率为：,D,29.3-29.7MHz,28-29.7MHz,28.3-29.510MHz z,29.51-29.7MHz
LK0171,1.7.1,MC1-0205,VHF 业余无线电台在 144MHz 频段进行本地联络时应避免占用的频率为：,B,144.035-145.8MHz,144-144.035MHz 和 145.8-146MHz,144.035-144.053MHz 和 145.550-145.750MHz,144.050-144.053MHz 和 145.100-145.750MHz
LK0172,1.7.1,MC1-0206,UHF 业余无线电台在 430MHz 频段进行本地联络时应避免占用的频率为：,C,430-431.9MHz 和 432.240-435MHz,430-431.2MHz 和 435-436MHz,431.9-432.240MHz 和 435-438MHz,431-432MHz 和 438-440MHz
LK0173,1.7.2,MC1-0207,分配给业余业务的某频段的频率下限为 F1，业余电台实际可以工作的发信频率应为：,B,F1,F1+信号下边带的频率宽度,F1-信号下边带的频率宽度,F1-2×信号下边带的频率宽度
LK0174,1.7.2,MC1-0208,分配给业余业务的某频段的频率上限为 F2，业余电台实际可以工作的发信频率应为：,A,F2-信号上边带的频率宽度,F2-2×信号上边带的频率宽度,F2+信号上边带的频率宽度,F2
LY0180,1.7.2,MC1-0209,ITU 对于 5 至 30MHz 短波频段的态度是：,D,同样鼓励本地和远距离通信尽量使用该段频率，提高这一段频谱的使用率,鼓励在这些频段建立大功率中继站，以提高本地通信的覆盖效果,在保证优先满足本地通信的前提下，允许远距离通信适当使用这一段频率,鼓励各主管部门在可行时，使用任何其他可能的通信手段，从而防止对远距离无线电通信的有害干扰
LK0181,1.7.2,MC1-0210,国际电联规定的确定发射电台辐射功率的原则为：,B,HF 频段发射电台应辐射尽量大的功率，VHF 频段发射电台应辐射尽量小的功率,发射电台只应辐射为保证满意服务所必要的功率,VHF/UHF 频段发射电台应辐射尽量大的功率，HF 频段发射电台应辐射尽量小的功率,发射电台应辐射尽量大的功率以提供尽量好的信号质量
LK0050,1.7.2,MC1-0211,某俱乐部约定了一个成员业余电台之间交流技术的网络频率，当遇有其他业余电台按通信惯例要求参加通信时，处理原则应为：,A,无条件欢迎加入，因为任何业余电台都对业余无线电频率享有平等使用权,要求其他业余电台在俱乐部成员结束网络通信后再使用该频率,要求其他业余电台在任何时间都不得使用俱乐部自行约定的专用通信频率,由俱乐部网络控制台自行决定其他业余电台是否可以加入通联
LK0185,1.7.2,MC1-0212,ITU《无线电规则》禁止所有电台发射下列种类的电波：,C,调频波,调相波,阻尼波,调幅波
LX,1.7.2,MC4-0213,下列哪些违法行为将由无线电管理机构依照《中华人民共和国无线电管理条例》的规定处理：,ABCD,向境外组织或者个人提供涉及国家安全的境内电波参数资料,违法使用业余无线电台干扰无线电业务正常进行的,故意收发业余无线电台执照载明事项之外的无线电信号，传播、公布或者利用无意接收的信息的,擅自编制、使用业余无线电台呼号的
LX,1.7.2,MC2-0214,业余无线电台使用业余业务频率使用原则：,BC,需取得无线电频率使用许可,免收无线电频率占用费,无需取得无线电频率使用许可,需收取无线电频率占用费
LY0212,1.7.2,MC1-0215,我国《无线电频率划分规定》划分给业余业务使用的最低频段为 135.7-137.8kHz，属于无线电频谱的下列频段（波段）：,C,特低频（特长波）,甚低频（甚长波）,低频（长波）,超低频（超长波）
LY0213,1.7.2,MC1-0216,我国《无线电频率划分规定》划分给业余业务使用的最低频段为 135.7-137.8kHz，属于无线电频谱的下列频段（波段）：,B,SLF,LF,VLF,ULF
LY0214,1.7.2,MC1-0217,"我国《无线电频率划分规定》划分给业余业务使用的 1,800kHz-2,000kHz 属于无线电频谱的下列频段（波段）：",C,高频（短波）,低频（长波）,中频（中波）,甚高频（米波）
LY0215,1.7.2,MC1-0218,"我国《无线电频率划分规定》划分给业余业务使用的 1,800kHz-2,000kHz 属于无线电频谱的下列频段（波段）：",D,HF,LF,VHF,MF
LY0216,1.7.2,MC1-0219,我国《无线电频率划分规定》划分给业余业务使用的 28MHz-29.7MHz 属于无线电频谱的下列频段（波段）：,B,低频（长波）,高频（短波）,甚高频（米波）,中频（中波）
LY0217,1.7.2,MC1-0220,我国《无线电频率划分规定》划分给业余业务使用的 28MHz-29.7MHz 属于无线电频谱的下列频段（波段）：,C,VHF,MF,HF,LF
LY0218,1.7.2,MC1-0221,我国《无线电频率划分规定》划分给业余业务使用的 50MHz-54MHz 属于无线电频谱的下列频段（波段）：,D,高频（短波）,特高频（分米波）,超高频（厘米波）,甚高频（米波）
LY0219,1.7.2,MC1-0222,我国《无线电频率划分规定》划分给业余业务使用的 50MHz-54MHz 属于无线电频谱的下列频段（波段）：,C,UHF,SHF,VHF,HF
LY0220,1.7.2,MC1-0223,"我国《无线电频率划分规定》划分给业余业务使用的最接近无线宽带 WiFi 频率的频段为2,300-2,450MHz，属于无线电频谱的下列频段（波段）：",A,特高频（分米波）,高频（短波）,超高频（厘米波）,甚高频（米波）
LK1010,1.7.2,MC1-0224,430-440MHz 业余频段与公众对讲机的工作频率最为接近。如果业余无线电爱好者希望通过改变业余电台的配置，将之“扩频”并与公众对讲机持有者通信，则需注意：,D,将业余电台设置到公众对讲机的频率，但只能进行由业余电台到公众对讲机的单向发信,将业余电台设置到公众对讲机的频率，以不大于业余电台执照核定的发射功率与之通信,将业余电台设置到公众对讲机的频率，以不大于 0.5W 的发射功率与之通信,业余电台不能与公众对讲机通信
LY0221,1.7.2,MC1-0225,"我国《无线电频率划分规定》划分给业余业务使用的最接近 Wi-Fi 局域网频率的频段为2,300-2,450MHz，属于无线电频谱的下列频段（波段）：",A,UHF,SHF,VHF,HF
LY0222,1.7.2,MC1-0226,我国《无线电频率划分规定》划分给业余业务使用的最接近 C 波段卫星电视广播频率的频段是 5.650-5.850GHz，属于无线电频谱的下列频段（波段）：,D,特高频（分米波）,甚高频（米波）,极高频（毫米波）,超高频（厘米波）
LY0223,1.7.2,MC1-0227,我国《无线电频率划分规定》划分给业余业务使用的最接近 C 波段卫星电视广播频率的频段是 5.650-5.850GHz，属于无线电频谱的下列频段（波段）：,D,EHF,UHF,VHF,SHF
